index,recordDate,recordTime,recordEpoch,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,postmile,alignment,milepost,inService,essAtmosphericPressure,essAvgWindDirection,essAvgWindSpeed,essSpotWindDirection,essSpotWindSpeed,essMaxWindGustSpeed,essMaxWindGustDir,essNumTemperatureSensors,essAirTemperature.1,essWetbulbTemp,essDewpointTemp,essMaxTemp,essMinTemp,essRelativeHumidity,essPrecipYesNo,essPrecipRate,essPrecipSituation,essPrecipitationStartTime,essPrecipitationEndTime,essPrecipitationOneHour,essPrecipitationThreeHours,essPrecipitationSixHours,essPrecipitationTwelveHours,essPrecipitation24Hours,essVisibility,essVisibilitySituation,numEssPavementSensors,essPavementSensorLocation.1,essPavementSensorLocation.2,essPavementSensorLocation.3,essPavementSensorLocation.4,essPavementSensorLocation.5,essPavementSensorLocation.6,essPavementSensorLocation.7,essPavementSensorLocation.8,essPavementType.1,essPavementType.2,essPavementType.3,essPavementType.4,essPavementType.5,essPavementType.6,essPavementType.7,essPavementType.8,essPavementSensorType.1,essPavementSensorType.2,essPavementSensorType.3,essPavementSensorType.4,essPavementSensorType.5,essPavementSensorType.6,essPavementSensorType.7,essPavementSensorType.8,essSurfaceStatus.1,essSurfaceStatus.2,essSurfaceStatus.3,essSurfaceStatus.4,essSurfaceStatus.5,essSurfaceStatus.6,essSurfaceStatus.7,essSurfaceStatus.8,essSurfaceTemperature.1,essSurfaceTemperature.2,essSurfaceTemperature.3,essSurfaceTemperature.4,essSurfaceTemperature.5,essSurfaceTemperature.6,essSurfaceTemperature.7,essSurfaceTemperature.8,essSurfaceSalinity.1,essSurfaceSalinity.2,essSurfaceSalinity.3,essSurfaceSalinity.4,essSurfaceSalinity.5,essSurfaceSalinity.6,essSurfaceSalinity.7,essSurfaceSalinity.8,essSurfaceFreezePoint.1,essSurfaceFreezePoint.2,essSurfaceFreezePoint.3,essSurfaceFreezePoint.4,essSurfaceFreezePoint.5,essSurfaceFreezePoint.6,essSurfaceFreezePoint.7,essSurfaceFreezePoint.8,essSurfaceBlackIceSignal.1,essSurfaceBlackIceSignal.2,essSurfaceBlackIceSignal.3,essSurfaceBlackIceSignal.4,essSurfaceBlackIceSignal.5,essSurfaceBlackIceSignal.6,essSurfaceBlackIceSignal.7,essSurfaceBlackIceSignal.8,essPavementSensorError.1,essPavementSensorError.2,essPavementSensorError.3,essPavementSensorError.4,essPavementSensorError.5,essPavementSensorError.6,essPavementSensorError.7,essPavementSensorError.8,essSurfaceIceOrWaterDepth.1,essSurfaceIceOrWaterDepth.2,essSurfaceIceOrWaterDepth.3,essSurfaceIceOrWaterDepth.4,essSurfaceIceOrWaterDepth.5,essSurfaceIceOrWaterDepth.6,essSurfaceIceOrWaterDepth.7,essSurfaceIceOrWaterDepth.8,essSurfaceConductivityV2.1,essSurfaceConductivityV2.2,essSurfaceConductivityV2.3,essSurfaceConductivityV2.4,essSurfaceConductivityV2.5,essSurfaceConductivityV2.6,essSurfaceConductivityV2.7,essSurfaceConductivityV2.8,numEssSubSurfaceSensors,essSubSurfaceSensorLocation.1,essSubSurfaceSensorLocation.2,essSubSurfaceSensorLocation.3,essSubSurfaceSensorLocation.4,essSubSurfaceSensorLocation.5,essSubSurfaceSensorLocation.6,essSubSurfaceSensorLocation.7,essSubSurfaceSensorLocation.8,essSubSurfaceType.1,essSubSurfaceType.2,essSubSurfaceType.3,essSubSurfaceType.4,essSubSurfaceType.5,essSubSurfaceType.6,essSubSurfaceType.7,essSubSurfaceType.8,essSubSurfaceDepth.1,essSubSurfaceDepth.2,essSubSurfaceDepth.3,essSubSurfaceDepth.4,essSubSurfaceDepth.5,essSubSurfaceDepth.6,essSubSurfaceDepth.7,essSubSurfaceDepth.8,essSubSurfaceTemperature.1,essSubSurfaceTemperature.2,essSubSurfaceTemperature.3,essSubSurfaceTemperature.4,essSubSurfaceTemperature.5,essSubSurfaceTemperature.6,essSubSurfaceTemperature.7,essSubSurfaceTemperature.8,essSubSurfaceMoisture.1,essSubSurfaceMoisture.2,essSubSurfaceMoisture.3,essSubSurfaceMoisture.4,essSubSurfaceMoisture.5,essSubSurfaceMoisture.6,essSubSurfaceMoisture.7,essSubSurfaceMoisture.8,essSubSurfaceSensorError.1,essSubSurfaceSensorError.2,essSubSurfaceSensorError.3,essSubSurfaceSensorError.4,essSubSurfaceSensorError.5,essSubSurfaceSensorError.6,essSubSurfaceSensorError.7,essSubSurfaceSensorError.8
5,2026-02-11,09:34:05,1770831245,6,"I-5 : South of SR-46","Lost Hills",-119.62652,35.58648,246,North,Kern,I-5,,,70.54,,275.44,true,65535,220,40,203,28,57,216,"Not Reported",177,112,-143,198,110,10,2,65535,3,0,0,65535,65535,65535,65535,65535,828,2,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
6,2026-02-11,09:34:06,1770831246,6,"SR-46 : 4 Miles East of Kecks Road","Not Reported",-120.01802,35.63986,731,East,Kern,SR-46,,,11.49,,64.40,true,65535,361,65535,361,65535,65535,361,1,135,103,74,185,102,66,3,65535,1,0,0,65535,65535,65535,65535,65535,1000001,1,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
7,2026-02-11,09:30:05,1770831005,6,"SR-46 : Just West of Kecks Road","Lost Hills",-120.09691,35.67854,846,West,Kern,SR-46,,,6.36,,59.27,true,65535,195,38,196,65,67,215,1,141,115,94,201,103,73,2,0,3,1770751996,1770752179,0,0,0,0,3,20000,3,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
8,2026-02-11,09:34:05,1770831245,6,"SR-99 : 14th Avenue",Delano,-119.25233,35.77352,311,South,Kern,SR-99,,,56.38,,57.24,true,65535,5,4,5,0,13,2,1,175,109,26,218,100,36,3,65535,1,0,0,0,0,0,0,0,1000001,1,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
9,2026-02-11,09:31:04,1770831064,6,"SR-41 : Kettleman City","Kettleman City",-119.95962,36.00194,282,South,Kings,SR-41,,,17.70,,69.81,true,"Not Reported",157,5,160,9,7,153,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported",20000,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
10,2026-02-11,09:33:06,1770831186,6,"I-5 : Milham Avenue","Kettleman City",-119.98971,36.00876,482,South,Kings,I-5,,,19.09,,311.02,true,"Not Reported",361,0,361,0,0,361,1,434,403,398,434,-498,82,3,65535,1,0,0,65535,65535,65535,65535,65535,52811,2,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
11,2026-02-11,09:34:09,1770831249,6,"I-5 : 3.5 Miles South of SR-198",Huron,-120.21535,36.20947,456,North,Fresno,I-5,,,11.38,,330.03,true,"Not Reported",175,53,192,61,77,196,1,141,87,-171,193,115,9,2,65535,3,1367825736,1367825740,65535,65535,65535,65535,65535,480208,2,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
12,2026-02-11,03:52:05,1770810725,6,"I-5 : Grapevine",Lebec,-118.93061,34.93928,1541,North,Kern,I-5,,,10.18,L,215.09,true,"Not Reported",5,11,5,16,26,5,1,100,54,-174,113,96,12,3,65535,1,0,0,0,0,0,65535,65535,1000001,1,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
13,2026-02-11,09:34:05,1770831245,6,"SR-99 : Kings River",Kingsburg,-119.53043,36.49624,298,South,Tulare,SR-99,,,52.60,,111.02,true,10819,207,17,190,17,24,171,1,142,1001,96,184,106,74,2,0,3,0,0,0,0,0,26,48,229420,2,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
14,2026-02-11,09:34:04,1770831244,6,"SR-99 : Floral Avenue",Selma,-119.63188,36.579,318,North,Fresno,SR-99,,,6.73,,119.07,true,10810,121,33,128,23,44,130,1,146,1001,92,187,112,70,2,0,3,0,0,0,0,0,38,51,317110,2,"Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported","Not Reported"
