station,timestamp:utc,timestamp:local,timestamp:localstring,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,alignment,milepost,inService,essReferenceHeight,essPressureHeight,essWindSensorHeight,essNumTemperatureSensors,numEssPavementSensors,numEssSubSurfaceSensors,alert,alertAppliesTo,qc_pass
id,sec,sec,time,none,none,none,deg,deg,ft,none,none,none,none,none,none,mi,none,ft,ft,ft,none,none,none,none,none,none
string,epoch time,epoch time,time string,int,text,text,float,float,float,text,text,text,text,text,text,float,bool,float,float,float,int,int,int,bool,text,bool
D02-02,1770831120,1770802320,2026/02/11-09:32 -0800,2,Anderson Grade,Yreka,-122.58937,41.79255,3002,South,Siskiyou,I-5,,R,,780.283,true,,,,1,Not Reported,Not Reported,,,
D02-06,1770831120,1770802320,2026/02/11-09:32 -0800,2,Black Butte,Mount Shasta,-122.3559,41.35411,3912,South,Siskiyou,I-5,,R,,741.746,true,,,,1,2,Not Reported,,,
D02-07,1770831180,1770802380,2026/02/11-09:33 -0800,2,Bogard,Susanville,-121.0887,40.58548,5629,East,Lassen,SR-44,,,,84.312,true,,,,1,1,Not Reported,,,
D02-08,1770830640,1770801840,2026/02/11-09:24 -0800,2,Buckhorn,Lewiston,-122.7608,40.65457,2646,West,Trinity,SR-299,,,,111.662,true,,,,1,1,1,,,
D02-12,1770831180,1770802380,2026/02/11-09:33 -0800,2,Dorris,Dorris,-121.909345,41.977052,4285,South,Siskiyou,US-97,,,,52.20,true,,,,1,1,Not Reported,,,
D02-13,1770830940,1770802140,2026/02/11-09:29 -0800,2,Doyle,Doyle,-120.0853,40.00069,4300,East,Lassen,US-395,,R,,379.026,true,,,,1,Not Reported,Not Reported,,,
D02-14,1747331160,1747302360,2025/05/15-09:46 -0800,2,Dunsmuir,Dunsmuir,-122.27521,41.21896,2420,South,Siskiyou,I-5,,R,,730.226,false,,,,1,2,1,,,
D02-19,1770831120,1770802320,2026/02/11-09:32 -0800,2,Fredonyer Smt,Susanville,-120.865199,40.36127,5741,West,Lassen,SR-36,,,,230.65,true,,,,1,1,Not Reported,,,
D02-20,1770831180,1770802380,2026/02/11-09:33 -0800,2,Fredonyer_East,Westwood,-120.8367871,40.36964196,5167,West,Lassen,SR-36,,,,232.653,true,,,,1,2,Not Reported,,,
D02-22,1770831000,1770802200,2026/02/11-09:30 -0800,2,Hatchet Mtn,Burney,-121.76202,40.85216,4366,East,Shasta,SR-299,,,,182.338,true,,,,1,1,1,,,
D02-24,1770830820,1770802020,2026/02/11-09:27 -0800,2,HiltRWIS,Hornbrook,-122.60745,41.98883,3097,North,Siskiyou,I-5,,R,,795.274,true,,,,1,1,1,,,
D02-25,1770830880,1770802080,2026/02/11-09:28 -0800,2,HornbrookRWIS,Hornbrook,-122.56764,41.90631,2303,North,Siskiyou,I-5,,R,,789.158,true,,,,1,1,1,,,
D02-28,1770830880,1770802080,2026/02/11-09:28 -0800,2,Janesville,Janesville,-120.50847,40.29413,4165,East,Lassen,US-395,,,,410.23,true,,,,1,Not Reported,Not Reported,,,
D02-37,1770831180,1770802380,2026/02/11-09:33 -0800,2,NorthWeedRWIS,Weed,-122.40218,41.42958,3465,North,Siskiyou,I-5,,R,,747.987,true,,,,1,1,1,,,
D02-39,1770831120,1770802320,2026/02/11-09:32 -0800,2,Oregon Mtn,Weaverville,-122.9908,40.73877,2775,East,Trinity,SR-299,,,,90.16,true,,,,1,1,Not Reported,,,
D02-49,1770830400,1770801600,2026/02/11-09:20 -0800,2,Sims Road,Castella,-122.35592,41.07786,1804,North,Shasta,I-5,,R,,718.468,true,,,,1,1,1,,,
D02-51,1770831180,1770802380,2026/02/11-09:33 -0800,2,SnowmanRWIS,McCloud,-122.21339,41.26848,4485,South,Siskiyou,SR-89,,,,237.775,true,,,,1,1,1,,,
D02-53,1770830580,1770801780,2026/02/11-09:23 -0800,2,Spring Garden,Quincy,-120.8184,39.91438,3813,West,Plumas,SR-70,,,,131.351,true,,,,1,2,1,,,
D02-61,1770830880,1770802080,2026/02/11-09:28 -0800,2,Vollmers,Lakehead,-122.42692,40.94086,1322,North,Shasta,I-5,,R,,706.888,true,,,,1,4,Not Reported,,,
D02-64,1770831000,1770802200,2026/02/11-09:30 -0800,2,Weed Airport,Weed,-122.4529,41.4743,2936,North,Siskiyou,I-5,,R,,752.728,true,,,,1,Not Reported,Not Reported,,,
D02-78,1770831000,1770802200,2026/02/11-09:30 -0800,2,Perez,Perez,-121.20725,41.60412,4478,South,Modoc,SR-139,,,,88.66,true,,,,1,1,Not Reported,,,
D02-81,1770831120,1770802320,2026/02/11-09:32 -0800,2,Anderson Grade Summit,Yreka,-122.58186,41.80012,3078,North,Siskiyou,I-5,,R,,780.993,true,,,,Not Reported,4,1,,,
D02-84,1770831120,1770802320,2026/02/11-09:32 -0800,2,Collier,Yreka,-122.57007,41.85169,2148,South,Siskiyou,I-5,,R,L,784.90,true,,,,1,3,1,,,
D03-01,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at Blue Canyon,Emigrant Gap,-120.70311,39.2834,5314,,Placer,I-80,,,,154.89,true,,,,1,1,1,,,
D03-02,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at Cisco Grove,Soda Springs,-120.54444,39.30916,5675,East,Placer,I-80,,R,R,164.891,true,,,,0,1,1,,,
D03-03,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at Donner Summit,Soda Springs,-120.34782,39.33906,7221,,Nevada,I-80,,R,R,176.31,true,,,,1,1,1,,,
D03-04,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at Donner Lake,Truckee,-120.28773,39.33194,6407,,Nevada,I-80,,R,L,180.48,true,,,,1,1,1,,,
D03-05,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 50 at Echo Summit,South Lake Tahoe,-120.02994,38.81322,7401,,El Dorado,US-50,,,,94.97,true,,,,1,1,1,,,
D03-06,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 267 at Brockway Summit,Tahoe Vista,-120.07189,39.26081,7194,,Placer,SR-267,,,,8.50,true,,,,1,1,1,,,
D03-07,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 267 at Truckee Bypass,Truckee,-120.16325,39.33431,5866,,Nevada,SR-267,,M,,0.36,true,,,,1,1,1,,,
D03-08,1744043460,1744014660,2025/04/07-08:31 -0800,3,Hwy 80 at Chiles Rd,Davis,-121.63891,38.56359,29,,Yolo,I-80,,,,78.00,true,,,,1,1,Not Reported,,,
D03-09,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at Truckee Scales,Truckee,-120.13009,39.36223,5826,,Nevada,I-80,,,,189.86,true,,,,1,1,0,,,
D03-10,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at Floriston,Floriston,-120.02388,39.39557,5291,,Nevada,I-80,,,,198.01,true,,,,1,1,1,,,
D03-11,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at Bryte Bend,Sacramento,-121.54475,38.603,19,,Sacramento,I-80,,M,,84.29,true,,,,1,1,1,,,
D03-15,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 5 at Richards Blvd,Sacramento,-121.50445,38.59846,36,,Sacramento,I-5,,,,519.85,true,,,,1,1,1,,,
D03-17,1770826500,1770797700,2026/02/11-08:15 -0800,3,Hwy 89 at Rampart,Olympic Valley,-120.17757,39.16532,6250,,Placer,SR-89,,,,69.40,true,,,,1,0,0,,,
D03-18,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 28 at Dollar Point,Tahoe City,-120.10387,39.19358,6522,,Placer,SR-28,,,,3.00,true,,,,1,1,1,,,
D03-19,1770831180,1770802380,2026/02/11-09:33 -0800,3,Hwy 80 at West Capitol,West Sacramento,-121.58181,38.57393,13,,Yolo,I-80,,,,81.16,true,,,,1,1,1,,,
D03-21,1770831180,1770802380,2026/02/11-09:33 -0800,3,50EB at Riverton Barn,Pollock Pines,-120.471056,38.773832,3231,East,El Dorado,US-50,,,R,66.563,true,,,,1,2,1,,,
D03-22,1770831180,1770802380,2026/02/11-09:33 -0800,3,99NB at Dillard Road,,-121.334634,38.342308,39.4,North,Sacramento,SR-99,,,,281.823,true,,,,1,1,1,,,
D06-05,1770831180,1770802380,2026/02/11-09:33 -0800,6,I-5 : South of SR-46,Lost Hills,-119.62652,35.58648,246,North,Kern,I-5,,,,275.44,true,,,,Not Reported,Not Reported,Not Reported,,,
D06-06,1770830340,1770801540,2026/02/11-09:19 -0800,6,SR-46 : 4 Miles East of Kecks Road,Not Reported,-120.01802,35.63986,731,East,Kern,SR-46,,,,64.40,true,,,,1,Not Reported,Not Reported,,,
D06-07,1770831000,1770802200,2026/02/11-09:30 -0800,6,SR-46 : Just West of Kecks Road,Lost Hills,-120.09691,35.67854,846,West,Kern,SR-46,,,,59.27,true,,,,1,Not Reported,Not Reported,,,
D06-08,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-99 : 14th Avenue,Delano,-119.25233,35.77352,311,South,Kern,SR-99,,,,57.24,true,,,,1,Not Reported,Not Reported,,,
D06-09,1770831060,1770802260,2026/02/11-09:31 -0800,6,SR-41 : Kettleman City,Kettleman City,-119.95962,36.00194,282,South,Kings,SR-41,,,,69.81,true,,,,Not Reported,Not Reported,Not Reported,,,
D06-10,1770831180,1770802380,2026/02/11-09:33 -0800,6,I-5 : Milham Avenue,Kettleman City,-119.98971,36.00876,482,South,Kings,I-5,,,,311.02,true,,,,1,Not Reported,Not Reported,,,
D06-11,1770831180,1770802380,2026/02/11-09:33 -0800,6,I-5 : 3.5 Miles South of SR-198,Huron,-120.21535,36.20947,456,North,Fresno,I-5,,,,330.03,true,,,,1,Not Reported,Not Reported,,,
D06-12,1770810720,1770781920,2026/02/11-03:52 -0800,6,I-5 : Grapevine,Lebec,-118.93061,34.93928,1541,North,Kern,I-5,,,L,215.09,true,,,,1,Not Reported,Not Reported,,,
D06-13,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-99 : Kings River,Kingsburg,-119.53043,36.49624,298,South,Tulare,SR-99,,,,111.02,true,,,,1,Not Reported,Not Reported,,,
D06-14,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-99 : Floral Avenue,Selma,-119.63188,36.579,318,North,Fresno,SR-99,,,,119.07,true,,,,1,Not Reported,Not Reported,,,
D06-15,1770831180,1770802380,2026/02/11-09:33 -0800,6,I-5 : North of Panoche Road,Firebaugh,-120.63009,36.64833,469,South,Fresno,I-5,,,,368.38,true,,,,Not Reported,Not Reported,Not Reported,,,
D06-16,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-145 : Avenue 5 1/2,Madera,-120.056127,36.828929,255,North,Madera,SR-145,,R,,41.69,true,,,,1,Not Reported,Not Reported,,,
D06-17,1770831060,1770802260,2026/02/11-09:31 -0800,6,SR-99 : San Joaquin River,Fresno,-119.92941,36.84103,278,South,Fresno,SR-99,,,,143.72,true,,,,1,Not Reported,Not Reported,,,
D06-18,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-41 : San Joaquin River,Fresno,-119.79325,36.87447,285,South,Fresno,SR-41,,,,133.22,true,,,,1,Not Reported,Not Reported,,,
D06-19,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-99 : Fresno River,Madera,-120.07245,36.97049,278,South,Madera,SR-99,,,,155.73,true,,,,1,Not Reported,Not Reported,,,
D06-20,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-152 : Ash Slough Bridge,Chowchilla,-120.35919,37.08308,196,East,Madera,SR-152,,,,96.19,true,,,,Not Reported,Not Reported,Not Reported,,,
D06-21,1767876360,1767847560,2026/01/08-04:46 -0800,6,SR-58 : West of Cottonwood Road,Bakersfield,-118.98397,35.35271,406,West,Kern,SR-58,,R,,107.68,true,,,,1,Not Reported,Not Reported,,,
D06-22,1770831000,1770802200,2026/02/11-09:30 -0800,6,SR-178 : Kern Canyon Road,Bakersfield,-118.8797,35.39873,751,West,Kern,SR-178,,T,,8.15,true,,,,1,Not Reported,Not Reported,,,
D06-24,1761428700,1761399900,2025/10/25-13:45 -0800,6,I-5 : 1.9 Miles South of SR-269,Kettleman City,-120.0748,36.06076,570,North,Kings,I-5,,,R,317.003,true,,,,Not Reported,Not Reported,Not Reported,,,
D06-25,1770831000,1770802200,2026/02/11-09:30 -0800,6,I-5 : SR-198,Coalinga,-120.24259,36.25294,475,North,Fresno,I-5,,,,333.40,true,,,,0,Not Reported,Not Reported,,,
D06-26,1770831180,1770802380,2026/02/11-09:33 -0800,6,SR-198 : Just West of SR-99,Visalia,-119.41583,36.3272,298,East,Tulare,SR-198,,R,R,100.15,true,,,,1,Not Reported,Not Reported,,,
D06-27,1770831180,1770802380,2026/02/11-09:33 -0800,6,NB 65 N/O Scranton Rd,Porterville,-119.039475,36.038765,456,North,Tulare,SR-65,,,,42.26,true,,,,Not Reported,Not Reported,Not Reported,,,
D08-02,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-15 : 0.3 Mile North of SR-138,Phelan,-117.47904,34.31508,3179,South,San Bernardino,I-15,,R,,131.08,true,,,,1,1,Not Reported,,,
D08-04,1760341500,1760312700,2025/10/12-23:45 -0800,8,SR-138 : 0.15 Mile East of SR-2,Phelan,-117.57456,34.38861,4793,West,San Bernardino,SR-138,,,,75.40,true,,,,1,1,Not Reported,,,
D08-05,1770831180,1770802380,2026/02/11-09:33 -0800,8,SR-2 : Wrightwood Fire Station,Wrightwood,-117.62932,34.359559,5921,West,San Bernardino,SR-2,,,L,73.448,true,,,,1,1,Not Reported,,,
D08-07,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-15 : US-395,Hesperia,-117.40232,34.39757,3759,North,San Bernardino,I-15,,,,139.19,true,,,,1,2,Not Reported,,,
D08-08,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-15 : Next to CMS In Baker,Baker,-116.04007,35.28784,1128,South,San Bernardino,I-15,,,L,246.979,true,,,,1,Not Reported,Not Reported,,,
D08-09,1770831000,1770802200,2026/02/11-09:30 -0800,8,SR-18 : SR-189 (Lake Gregory Drive),San Bernardino,-117.25166,34.22803,5141,East,San Bernardino,SR-18,,,,14.25,true,,,,1,1,Not Reported,,,
D08-10,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-40 : Barstow Maintenance Yard,Barstow,-116.99706,34.88632,2129,East,San Bernardino,I-40,,,,1.41,true,,,,1,Not Reported,Not Reported,,,
D08-11,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-10 : Jefferson Avenue Eastbound Offramp,Indio,-116.268267,33.748129,59,East,Riverside,I-10,,R,R,138.378,true,,,,Not Reported,Not Reported,Not Reported,,,
D08-12,1692576000,1692547200,2023/08/20-16:00 -0800,8,I-10 : West of Haugen-Lehmann Way,Whitewater,-116.699272,33.923452,1358,East,Riverside,I-10,,R,,109.88,true,,,,1,Not Reported,Not Reported,,,
D08-13,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-10 : East of SR-62,North Palm Springs,-116.598005,33.912895,974,East,Riverside,I-10,,,,115.86,true,,,,1,Not Reported,Not Reported,,,
D08-15,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-10 : West of Date Palm Drive,Cathedral City,-116.462433,33.851363,406,East,Riverside,I-10,,,,125.03,true,,,,1,Not Reported,Not Reported,,,
D08-16,1758141900,1758113100,2025/09/17-12:45 -0800,8,I-10 : East of Bob Hope Drive,Thousand Palms,-116.399495,33.813289,223,West,Riverside,I-10,,,,129.51,true,,,,1,Not Reported,Not Reported,,,
D08-17,1770831180,1770802380,2026/02/11-09:33 -0800,8,I-10 : East of Dillon Road,Coachella,-116.164406,33.714352,0,West,Riverside,I-10,,R,,145.22,true,,,,1,Not Reported,Not Reported,,,
D08-18,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-10 : Next to CMS in Blythe,Blythe,-114.55021,33.60808,269,West,Riverside,I-10,,R,,240.46,true,,,,1,Not Reported,Not Reported,,,
D08-19,1770831000,1770802200,2026/02/11-09:30 -0800,8,I-15 : Jurupa Avenue,Ontario,-117.55053,34.04791,908,South,San Bernardino,I-15,,,,107.77,true,,,,1,Not Reported,Not Reported,,,
